,Date,State,UR,StateName
528,1976-11-01,NH,6.3,new hampshire
529,1976-11-01,NJ,10.7,new jersey
530,1976-11-01,NM,8.9,new mexico
531,1976-11-01,NY,10.2,new york
532,1976-11-01,NC,6.3,north carolina
533,1976-11-01,ND,4.1,north dakota
534,1976-11-01,OH,7.6,ohio
535,1976-11-01,OK,5.4,oklahoma
536,1976-11-01,OR,9.3,oregon
537,1976-11-01,PA,7.9,pennsylvania
538,1976-11-01,RI,8.5,rhode island
539,1976-11-01,SC,7.1,south carolina
540,1976-11-01,SD,3.5,south dakota
541,1976-11-01,TN,6.4,tennessee
542,1976-11-01,TX,5.7,texas
543,1976-11-01,UT,5.4,utah
544,1976-11-01,VT,7.8,vermont
545,1976-11-01,VA,5.8,virginia
546,1976-11-01,WA,9.2,washington
547,1976-11-01,WV,6.6,west virginia
548,1976-11-01,WI,5.4,wisconsin
549,1976-11-01,WY,3.8,wyoming
550,1976-12-01,AL,7.3,alabama
551,1976-12-01,AK,8.6,alaska
552,1976-12-01,AZ,9.3,arizona
553,1976-12-01,AR,6.6,arkansas
554,1976-12-01,CA,9.3,california
555,1976-12-01,CO,6.4,colorado
556,1976-12-01,CT,8.3,connecticut
557,1976-12-01,DE,9.8,delaware
558,1976-12-01,FL,9.0,florida
559,1976-12-01,GA,8.2,georgia
560,1976-12-01,HI,8.4,hawaii
561,1976-12-01,ID,5.7,idaho
562,1976-12-01,IL,6.3,illinois
563,1976-12-01,IN,5.9,indiana
564,1976-12-01,IA,3.9,iowa
565,1976-12-01,KS,4.2,kansas
566,1976-12-01,KY,5.1,kentucky
567,1976-12-01,LA,7.0,louisiana
568,1976-12-01,ME,8.9,maine
569,1976-12-01,MD,6.9,maryland
570,1976-12-01,MA,8.7,massachusetts
571,1976-12-01,MI,8.9,michigan
572,1976-12-01,MN,5.9,minnesota
573,1976-12-01,MS,6.9,mississippi
574,1976-12-01,MO,6.6,missouri
575,1976-12-01,MT,6.0,montana
576,1976-12-01,NE,3.2,nebraska
577,1976-12-01,NV,8.6,nevada
578,1976-12-01,NH,6.3,new hampshire
579,1976-12-01,NJ,10.7,new jersey
580,1976-12-01,NM,8.9,new mexico
581,1976-12-01,NY,10.1,new york
582,1976-12-01,NC,6.4,north carolina
583,1976-12-01,ND,4.2,north dakota
584,1976-12-01,OH,7.6,ohio
585,1976-12-01,OK,5.4,oklahoma
586,1976-12-01,OR,9.2,oregon
587,1976-12-01,PA,8.0,pennsylvania
588,1976-12-01,RI,8.5,rhode island
589,1976-12-01,SC,7.2,south carolina
590,1976-12-01,SD,3.5,south dakota
591,1976-12-01,TN,6.5,tennessee
592,1976-12-01,TX,5.7,texas
593,1976-12-01,UT,5.4,utah
594,1976-12-01,VT,7.8,vermont
595,1976-12-01,VA,5.8,virginia
596,1976-12-01,WA,9.2,washington
597,1976-12-01,WV,6.7,west virginia
598,1976-12-01,WI,5.5,wisconsin
599,1976-12-01,WY,3.8,wyoming
600,1977-01-01,AL,7.5,alabama
601,1977-01-01,AK,8.9,alaska
602,1977-01-01,AZ,9.2,arizona
603,1977-01-01,AR,6.6,arkansas
604,1977-01-01,CA,9.2,california
605,1977-01-01,CO,6.5,colorado
606,1977-01-01,CT,8.1,connecticut
607,1977-01-01,DE,9.7,delaware
608,1977-01-01,FL,9.0,florida
609,1977-01-01,GA,8.1,georgia
610,1977-01-01,HI,8.3,hawaii
611,1977-01-01,ID,5.8,idaho
612,1977-01-01,IL,6.2,illinois
613,1977-01-01,IN,5.8,indiana
614,1977-01-01,IA,3.9,iowa
615,1977-01-01,KS,4.2,kansas
616,1977-01-01,KY,5.1,kentucky
617,1977-01-01,LA,7.0,louisiana
618,1977-01-01,ME,9.0,maine
619,1977-01-01,MD,6.9,maryland
620,1977-01-01,MA,8.6,massachusetts
621,1977-01-01,MI,8.9,michigan
622,1977-01-01,MN,5.9,minnesota
623,1977-01-01,MS,7.0,mississippi
624,1977-01-01,MO,6.5,missouri
625,1977-01-01,MT,6.1,montana
626,1977-01-01,NE,3.2,nebraska
627,1977-01-01,NV,8.4,nevada
628,1977-01-01,NH,6.3,new hampshire
629,1977-01-01,NJ,10.7,new jersey
630,1977-01-01,NM,8.8,new mexico
631,1977-01-01,NY,10.0,new york
632,1977-01-01,NC,6.3,north carolina
633,1977-01-01,ND,4.3,north dakota
634,1977-01-01,OH,7.6,ohio
635,1977-01-01,OK,5.4,oklahoma
636,1977-01-01,OR,9.1,oregon
637,1977-01-01,PA,8.0,pennsylvania
638,1977-01-01,RI,8.6,rhode island
639,1977-01-01,SC,7.3,south carolina
640,1977-01-01,SD,3.6,south dakota
641,1977-01-01,TN,6.6,tennessee
642,1977-01-01,TX,5.7,texas
643,1977-01-01,UT,5.4,utah
644,1977-01-01,VT,7.7,vermont
645,1977-01-01,VA,5.8,virginia
646,1977-01-01,WA,9.3,washington
647,1977-01-01,WV,6.8,west virginia
648,1977-01-01,WI,5.4,wisconsin
649,1977-01-01,WY,3.8,wyoming
650,1977-02-01,AL,7.7,alabama
651,1977-02-01,AK,9.2,alaska
652,1977-02-01,AZ,9.0,arizona
653,1977-02-01,AR,6.6,arkansas
654,1977-02-01,CA,9.0,california
655,1977-02-01,CO,6.6,colorado
656,1977-02-01,CT,7.9,connecticut
657,1977-02-01,DE,9.5,delaware
658,1977-02-01,FL,9.0,florida
659,1977-02-01,GA,7.9,georgia
660,1977-02-01,HI,8.2,hawaii
661,1977-02-01,ID,5.8,idaho
662,1977-02-01,IL,6.1,illinois
663,1977-02-01,IN,5.8,indiana
664,1977-02-01,IA,3.9,iowa
665,1977-02-01,KS,4.2,kansas
666,1977-02-01,KY,5.0,kentucky
667,1977-02-01,LA,7.0,louisiana
668,1977-02-01,ME,8.9,maine
669,1977-02-01,MD,6.8,maryland
670,1977-02-01,MA,8.5,massachusetts
671,1977-02-01,MI,8.8,michigan
672,1977-02-01,MN,5.8,minnesota
673,1977-02-01,MS,7.1,mississippi
674,1977-02-01,MO,6.4,missouri
675,1977-02-01,MT,6.1,montana
676,1977-02-01,NE,3.2,nebraska
677,1977-02-01,NV,8.2,nevada
678,1977-02-01,NH,6.2,new hampshire
